team,matches,goals,shots,goals_against,world_rank,entrant_rank,ranking_group,yellow_per_group_match,clean_sheets,goals_conceded,saves,goals_per_match,shots_per_match,saves_per_match,qualification,scoreless_match_share,mean_match_shot_share,opponent_shots_total,opponent_shots_per_match,opponent_sot_per_match,saves_per_100_opponent_shots
Algeria,4,5,44,9,28,25,Lower,0.3333333333333333,0,9,9,1.25,11.0,2.25,Qualified,0.5,0.5145679707289614,39,9.75,4.5,23.076923076923077
Argentina,8,19,114,8,1,1,Higher,0.6666666666666666,2,8,20,2.375,14.25,2.5,Qualified,0.125,0.6048717632986209,75,9.375,3.5,26.666666666666668
Australia,4,3,42,3,27,24,Higher,1.6666666666666667,2,3,14,0.75,10.5,3.5,Qualified,0.5,0.4322537112010796,61,15.25,3.75,22.950819672131146
Austria,4,6,32,9,24,22,Higher,1.3333333333333333,0,9,15,1.5,8.0,3.75,Qualified,0.5,0.3666125541125541,58,14.5,6.0,25.862068965517242
Belgium,6,14,112,7,9,9,Higher,1.0,1,7,19,2.3333333333333335,18.666666666666668,3.1666666666666665,Qualified,0.16666666666666666,0.5911095819422144,70,11.666666666666666,3.8333333333333335,27.142857142857142
Bosnia and Herzegovina,4,5,37,8,64,43,Lower,2.0,0,8,8,1.25,9.25,2.0,Qualified,0.25,0.4557453416149069,43,10.75,4.0,18.6046511627907
Brazil,5,10,74,4,6,6,Higher,1.6666666666666667,2,4,15,2.0,14.8,3.0,Qualified,0.0,0.5990468227424749,49,9.8,3.6,30.612244897959183
Cabo Verde,4,4,49,5,67,44,Lower,1.3333333333333333,2,5,18,1.0,12.25,4.5,Qualified,0.5,0.4246205246658967,73,18.25,5.5,24.65753424657534
Canada,5,9,80,6,30,27,Lower,1.6666666666666667,2,6,7,1.8,16.0,1.4,Qualified,0.2,0.7155535898569954,27,5.4,2.4,25.925925925925927
Colombia,5,5,94,1,13,12,Higher,1.3333333333333333,4,1,7,1.0,18.8,1.4,Qualified,0.4,0.6875334397073527,43,8.6,1.4,16.27906976744186
Congo DR,4,5,41,5,46,36,Lower,1.6666666666666667,0,5,15,1.25,10.25,3.75,Qualified,0.25,0.4901441955789782,46,11.5,4.5,32.608695652173914
Croatia,4,6,37,7,11,11,Higher,0.6666666666666666,1,7,12,1.5,9.25,3.0,Qualified,0.0,0.4441964285714286,51,12.75,4.0,23.529411764705884
Curaçao,3,1,29,9,82,46,Lower,2.3333333333333335,1,9,21,0.3333333333333333,9.666666666666666,7.0,Eliminated,0.6666666666666666,0.3722251663428134,60,20.0,10.0,35.0
Czechia,3,2,34,6,40,32,Lower,0.3333333333333333,0,6,11,0.6666666666666666,11.333333333333334,3.6666666666666665,Eliminated,0.3333333333333333,0.4371537960247638,43,14.333333333333334,5.0,25.58139534883721
Côte d'Ivoire,4,5,45,4,33,29,Lower,1.3333333333333333,2,4,11,1.25,11.25,2.75,Qualified,0.0,0.4782850241545894,48,12.0,3.5,22.916666666666668
Ecuador,4,2,53,4,23,21,Higher,1.6666666666666667,1,4,12,0.5,13.25,3.0,Qualified,0.75,0.4703112203112203,51,12.75,3.25,23.529411764705884
Egypt,5,8,67,7,29,26,Lower,2.0,0,7,14,1.6,13.4,2.8,Qualified,0.0,0.46536124794745487,74,14.8,4.0,18.91891891891892
England,8,20,118,12,4,4,Higher,0.6666666666666666,2,12,25,2.5,14.75,3.125,Qualified,0.125,0.5442335618286706,99,12.375,4.125,25.252525252525253
France,8,20,139,10,3,3,Higher,0.3333333333333333,4,10,15,2.5,17.375,1.875,Qualified,0.125,0.6797991869123583,67,8.375,2.875,22.388059701492537
Germany,4,11,74,5,10,10,Higher,0.3333333333333333,0,5,7,2.75,18.5,1.75,Qualified,0.0,0.6914542483660131,31,7.75,2.5,22.580645161290324
Ghana,4,2,24,3,73,45,Lower,1.0,2,3,16,0.5,6.0,4.0,Qualified,0.5,0.3076441102756892,58,14.5,4.75,27.586206896551722
Haiti,3,2,31,8,83,47,Lower,2.3333333333333335,0,8,13,0.6666666666666666,10.333333333333334,4.333333333333333,Eliminated,0.6666666666666666,0.460663082437276,39,13.0,6.0,33.333333333333336
IR Iran,3,3,37,3,20,19,Higher,2.0,1,3,15,1.0,12.333333333333334,5.0,Eliminated,0.3333333333333333,0.4153353814644137,52,17.333333333333332,6.0,28.846153846153847
Iraq,3,1,21,12,57,39,Lower,1.3333333333333333,0,12,10,0.3333333333333333,7.0,3.3333333333333335,Eliminated,0.6666666666666666,0.2762148337595908,59,19.666666666666668,7.333333333333333,16.949152542372882
Japan,4,8,34,5,18,17,Higher,0.3333333333333333,1,5,17,2.0,8.5,4.25,Qualified,0.0,0.4938849527665317,42,10.5,4.5,40.476190476190474
Jordan,3,3,24,8,63,42,Lower,1.3333333333333333,0,8,8,1.0,8.0,2.6666666666666665,Eliminated,0.0,0.37137254901960787,40,13.333333333333334,5.333333333333333,20.0
Korea Republic,3,2,32,3,25,23,Higher,1.3333333333333333,0,3,11,0.6666666666666666,10.666666666666666,3.6666666666666665,Eliminated,0.6666666666666666,0.5307274424921483,28,9.333333333333334,4.0,39.285714285714285
Mexico,5,10,70,3,14,13,Higher,0.6666666666666666,4,3,8,2.0,14.0,1.6,Qualified,0.0,0.6444151565668593,38,7.6,2.2,21.05263157894737
Morocco,6,10,69,6,7,7,Higher,0.3333333333333333,2,6,19,1.6666666666666667,11.5,3.1666666666666665,Qualified,0.16666666666666666,0.5133971610884956,65,10.833333333333334,3.3333333333333335,29.23076923076923
Netherlands,4,11,46,5,8,8,Higher,1.0,0,5,17,2.75,11.5,4.25,Qualified,0.0,0.4760558069381599,47,11.75,5.0,36.170212765957444
New Zealand,3,4,31,10,85,48,Lower,1.3333333333333333,0,10,11,1.3333333333333333,10.333333333333334,3.6666666666666665,Eliminated,0.0,0.3215403444357024,71,23.666666666666668,7.0,15.492957746478874
Norway,6,13,66,11,31,28,Lower,0.3333333333333333,0,11,22,2.1666666666666665,11.0,3.6666666666666665,Qualified,0.0,0.43187467113004346,87,14.5,5.166666666666667,25.28735632183908
Panama,3,0,32,4,34,30,Lower,1.6666666666666667,0,4,9,0.0,10.666666666666666,3.0,Eliminated,1.0,0.5279030910609858,31,10.333333333333334,3.3333333333333335,29.032258064516128
Paraguay,5,3,35,6,41,33,Lower,2.3333333333333335,2,6,28,0.6,7.0,5.6,Qualified,0.4,0.28158164642375166,96,19.2,5.4,29.166666666666668
Portugal,5,8,62,3,5,5,Higher,1.3333333333333333,2,3,20,1.6,12.4,4.0,Qualified,0.4,0.4924131274131274,67,13.4,4.4,29.850746268656717
Qatar,3,2,17,10,56,38,Lower,1.3333333333333333,0,10,16,0.6666666666666666,5.666666666666667,5.333333333333333,Eliminated,0.3333333333333333,0.21254262574595054,72,24.0,7.333333333333333,22.22222222222222
Saudi Arabia,3,1,17,5,61,41,Lower,2.0,1,5,17,0.3333333333333333,5.666666666666667,5.666666666666667,Eliminated,0.6666666666666666,0.21468805704099822,64,21.333333333333332,6.666666666666667,26.5625
Scotland,3,1,29,4,42,34,Lower,1.6666666666666667,1,4,9,0.3333333333333333,9.666666666666666,3.0,Eliminated,0.6666666666666666,0.36944444444444446,48,16.0,4.333333333333333,18.75
Senegal,4,10,69,9,15,14,Higher,0.6666666666666666,1,9,13,2.5,17.25,3.25,Qualified,0.0,0.5570486815415822,49,12.25,5.25,26.53061224489796
South Africa,4,2,39,4,60,40,Lower,1.6666666666666667,1,4,14,0.5,9.75,3.5,Qualified,0.5,0.4146656964993128,50,12.5,4.25,28.0
Spain,8,14,140,1,2,2,Higher,0.6666666666666666,7,1,14,1.75,17.5,1.75,Qualified,0.125,0.7308603896103896,46,5.75,1.25,30.434782608695652
Sweden,4,7,48,10,38,31,Lower,1.6666666666666667,0,10,16,1.75,12.0,4.0,Qualified,0.25,0.530241688136425,49,12.25,6.0,32.6530612244898
Switzerland,6,10,74,6,19,18,Higher,1.0,2,6,20,1.6666666666666667,12.333333333333334,3.3333333333333335,Qualified,0.16666666666666666,0.5134957026404395,69,11.5,4.166666666666667,28.985507246376812
Tunisia,3,2,18,12,45,35,Lower,0.3333333333333333,0,12,7,0.6666666666666666,6.0,2.3333333333333335,Eliminated,0.3333333333333333,0.2676563202878992,44,14.666666666666666,6.333333333333333,15.909090909090908
Türkiye,3,3,71,5,22,20,Higher,0.6666666666666666,0,5,8,1.0,23.666666666666668,2.6666666666666665,Eliminated,0.6666666666666666,0.6410256410256411,34,11.333333333333334,4.333333333333333,23.529411764705884
USA,5,11,59,8,17,16,Higher,1.6666666666666667,2,8,10,2.2,11.8,2.0,Qualified,0.0,0.5471919191919191,48,9.6,3.2,20.833333333333332
Uruguay,3,3,49,4,16,15,Higher,1.6666666666666667,0,4,4,1.0,16.333333333333332,1.3333333333333333,Eliminated,0.3333333333333333,0.6116233327186674,25,8.333333333333334,2.6666666666666665,16.0
Uzbekistan,3,2,18,11,50,37,Lower,1.3333333333333333,0,11,6,0.6666666666666666,6.0,2.0,Eliminated,0.3333333333333333,0.2586187966622749,51,17.0,5.666666666666667,11.764705882352942
