team,matches,goals,shots,goals_against,world_rank,entrant_rank,ranking_group,yellow_per_group_match,clean_sheets,goals_conceded,saves,goals_per_match,shots_per_match,saves_per_match,qualification
Algeria,4,5,44,9,28,25,Lower,0.3333333333333333,0,9,9,1.25,11.0,2.25,Qualified
Argentina,8,19,114,8,1,1,Higher,0.6666666666666666,2,8,20,2.375,14.25,2.5,Qualified
Australia,4,3,42,3,27,24,Higher,1.6666666666666667,2,3,14,0.75,10.5,3.5,Qualified
Austria,4,6,32,9,24,22,Higher,1.3333333333333333,0,9,15,1.5,8.0,3.75,Qualified
Belgium,6,14,112,7,9,9,Higher,1.0,1,7,19,2.3333333333333335,18.666666666666668,3.1666666666666665,Qualified
Bosnia and Herzegovina,4,5,37,8,64,43,Lower,2.0,0,8,8,1.25,9.25,2.0,Qualified
Brazil,5,10,74,4,6,6,Higher,1.6666666666666667,2,4,15,2.0,14.8,3.0,Qualified
Cabo Verde,4,4,49,5,67,44,Lower,1.3333333333333333,2,5,18,1.0,12.25,4.5,Qualified
Canada,5,9,80,6,30,27,Lower,1.6666666666666667,2,6,7,1.8,16.0,1.4,Qualified
Colombia,5,5,94,1,13,12,Higher,1.3333333333333333,4,1,7,1.0,18.8,1.4,Qualified
Congo DR,4,5,41,5,46,36,Lower,1.6666666666666667,0,5,15,1.25,10.25,3.75,Qualified
Croatia,4,6,37,7,11,11,Higher,0.6666666666666666,1,7,12,1.5,9.25,3.0,Qualified
Curaçao,3,1,29,9,82,46,Lower,2.3333333333333335,1,9,21,0.3333333333333333,9.666666666666666,7.0,Eliminated
Czechia,3,2,34,6,40,32,Lower,0.3333333333333333,0,6,11,0.6666666666666666,11.333333333333334,3.6666666666666665,Eliminated
Côte d'Ivoire,4,5,45,4,33,29,Lower,1.3333333333333333,2,4,11,1.25,11.25,2.75,Qualified
Ecuador,4,2,53,4,23,21,Higher,1.6666666666666667,1,4,12,0.5,13.25,3.0,Qualified
Egypt,5,8,67,7,29,26,Lower,2.0,0,7,14,1.6,13.4,2.8,Qualified
England,8,20,118,12,4,4,Higher,0.6666666666666666,2,12,25,2.5,14.75,3.125,Qualified
France,8,20,139,10,3,3,Higher,0.3333333333333333,4,10,15,2.5,17.375,1.875,Qualified
Germany,4,11,74,5,10,10,Higher,0.3333333333333333,0,5,7,2.75,18.5,1.75,Qualified
Ghana,4,2,24,3,73,45,Lower,1.0,2,3,16,0.5,6.0,4.0,Qualified
Haiti,3,2,31,8,83,47,Lower,2.3333333333333335,0,8,13,0.6666666666666666,10.333333333333334,4.333333333333333,Eliminated
IR Iran,3,3,37,3,20,19,Higher,2.0,1,3,15,1.0,12.333333333333334,5.0,Eliminated
Iraq,3,1,21,12,57,39,Lower,1.3333333333333333,0,12,10,0.3333333333333333,7.0,3.3333333333333335,Eliminated
Japan,4,8,34,5,18,17,Higher,0.3333333333333333,1,5,17,2.0,8.5,4.25,Qualified
Jordan,3,3,24,8,63,42,Lower,1.3333333333333333,0,8,8,1.0,8.0,2.6666666666666665,Eliminated
Korea Republic,3,2,32,3,25,23,Higher,1.3333333333333333,0,3,11,0.6666666666666666,10.666666666666666,3.6666666666666665,Eliminated
Mexico,5,10,70,3,14,13,Higher,0.6666666666666666,4,3,8,2.0,14.0,1.6,Qualified
Morocco,6,10,69,6,7,7,Higher,0.3333333333333333,2,6,19,1.6666666666666667,11.5,3.1666666666666665,Qualified
Netherlands,4,11,46,5,8,8,Higher,1.0,0,5,17,2.75,11.5,4.25,Qualified
New Zealand,3,4,31,10,85,48,Lower,1.3333333333333333,0,10,11,1.3333333333333333,10.333333333333334,3.6666666666666665,Eliminated
Norway,6,13,66,11,31,28,Lower,0.3333333333333333,0,11,22,2.1666666666666665,11.0,3.6666666666666665,Qualified
Panama,3,0,32,4,34,30,Lower,1.6666666666666667,0,4,9,0.0,10.666666666666666,3.0,Eliminated
