team,clean_sheets,goals_conceded,saves
Spain,7,1,14
France,4,10,15
Colombia,4,1,7
Mexico,4,3,8
Argentina,2,8,20
Morocco,2,6,19
England,2,12,25
Brazil,2,4,15
Côte d'Ivoire,2,4,11
Paraguay,2,6,28
Switzerland,2,6,20
USA,2,8,10
Canada,2,6,7
Cabo Verde,2,5,18
Ghana,2,3,16
Australia,2,3,14
Portugal,2,3,20
Ecuador,1,4,12
Curaçao,1,9,21
Scotland,1,4,9
Japan,1,5,17
Belgium,1,7,19
Croatia,1,7,12
South Africa,1,4,14
Senegal,1,9,13
Saudi Arabia,1,5,17
IR Iran,1,3,15
Haiti,0,8,13
Türkiye,0,5,8
Uzbekistan,0,11,6
Panama,0,4,9
Korea Republic,0,3,11
Germany,0,5,7
Netherlands,0,5,17
Austria,0,9,15
Iraq,0,12,10
Algeria,0,9,9
New Zealand,0,10,11
Uruguay,0,4,4
Czechia,0,6,11
Norway,0,11,22
Qatar,0,10,16
Egypt,0,7,14
Tunisia,0,12,7
Congo DR,0,5,15
Bosnia and Herzegovina,0,8,8
Jordan,0,8,8
Sweden,0,10,16
