1,Algeria,,BTTS,104,57,54.81%,,,,,,,,,,,,,,,
2,Argentina,,1.5,104,81,77.88%,,,,,,,,,,,,,,,
3,Australia,,2.5,104,58,55.77%,,Total Games Played,,,,104,,,,Referee,G,Yel,Av.,Red,Av.
4,Austria,,3.5,104,36,34.62%,,Total Goals Scored,,,,308,,,,Michael Oliver,4,17,4.25,0,0.00
5,Belgium,,BTTS/W,104,#REF!,0.00%,,Av. Goals Per Game,,,,2.96,,,,Ivan Barton,4,13,3.25,1,0.25
6,Bosnia and Herzegovina,,BTTS/D,104,#REF!,0.00%,,,,,,,,,,Slaven Vincic,4,12,3.00,2,0.50
7,Brazil,,BTTS/L,104,#REF!,0.00%,,Over 0.5 Goals,,,,92.31%,,,,Ismail Elfath,4,12,3.00,1,0.25
8,Cape Verde,,SBH,104,#REF!,0.00%,,Over 1.5 Goals,,,,77.88%,,,,Felix Zwayer,2,12,6.00,0,0.00
9,Canada,,WTN,104,#REF!,0.00%,,Over 2.5 Goals,,,,55.77%,,,,Francois Letexier,3,11,3.67,0,0.00
10,Colombia,,BTTS 1H,104,#REF!,0.00%,,Over 3.5 Goals,,,,34.62%,,,,Joao Pinheiro,3,10,3.33,2,0.67
11,Croatia,,BTTS 2H,104,#REF!,0.00%,,Both Teams To Score,,,,54.81%,,,,Danny Makkelie,3,9,3.00,0,0.00
12,Curacao,,BTTS BH,104,#REF!,0.00%,,1st Haf Goals Per Game,,,,1.21,,,,Maurizio Mariani,3,9,3.00,0,0.00
13,Czech Republic,,2 More,104,#REF!,0.00%,,2nd Half Goals Per Game,,,,1.68,,,,Anthony Taylor,3,9,3.00,1,0.33
14,D.R. Congo,,1st Half G,104,126,1.21,,xG Per Game,,,,2.60,,,,Facundo Tello,3,8,2.67,0,0.00
15,Ecuador,,2nd Half G,104,175,1.68,,Shots Per Game,,,,24.79,,,,Adham Makhadmeh,4,8,2.00,0,0.00
16,Egypt,,1.5 1H,104,#REF!,0.00%,,Early Goals (0-15),,,,33.65%,,,,Clement Turpin,4,8,2.00,0,0.00
17,England,,1.5 2H,104,#REF!,0.00%,,Late Goals (75+),,,,54.81%,,,,Said Martinez,3,7,2.33,0,0.00
18,France,,1.5 BH,104,#REF!,0.00%,,,,,,,,,,Ramon Abatti,2,7,3.50,0,0.00
19,Germany,,2.5 1H,104,#REF!,0.00%,,Match Corners Per Game,,,,8.81,,,,Szymon Marciniak,2,7,3.50,0,0.00
20,Ghana,,2.5 2H,104,#REF!,0.00%,,1st Half Corners Per Game,,,,3.89,,,,Abdulrahman Al-Jassim,2,7,3.50,0,0.00
21,Haiti,,2.5 BH,104,#REF!,0.00%,,2nd Half Corners Per Game,,,,4.91,,,,Glenn Nyberg,3,7,2.33,0,0.00
22,Iran,,3.5 1H,104,#REF!,0.00%,,,,,,,,,,Tori Penso,2,7,3.50,0,0.00
23,Iraq,,3.5 2H,104,#REF!,0.00%,,Yellow Cards Per Game,,,,2.57,,,,Espen Eskas,2,7,3.50,0,0.00
24,Ivory Coast,,3.5 BH,104,#REF!,0.00%,,Red Cards Per Game,,,,0.14,,,,Jalal Jayed,3,6,2.00,0,0.00
25,Japan,,15,104,35,33.65%,,Fouls Per Game,,,,23.19,,,,Alireza Faghani,3,6,2.00,1,0.33
26,Jordan,,Late,104,57,54.81%,,,,,,,,,,Ilgiz Tantashev,3,6,2.00,0,0.00
27,Mexico,,0.5,104,96,92.31%,,,,,,,,,,Ma Ning,1,6,6.00,0,0.00
28,Morocco,,0.5 1H,104,#REF!,0.00%,,,,,,,,,,Amin Omar,2,5,2.50,0,0.00
29,Netherlands,,0.5 2H,104,#REF!,0.00%,,,,,,,,,,Mustapha Ghorbal,2,5,2.50,0,0.00
30,New Zealand,,0.5 BH,104,#REF!,0.00%,,,,,,,,,,Drew Fischer,3,5,1.67,0,0.00
31,Norway,,Yel,104,267,2.57,,,,,,,,,,Wilson Sampaio,3,4,1.33,3,1.00
32,Panama,,Red,104,15,0.14,,,,,,,,,,Jesus Valenzuela,4,4,1.00,0,0.00
33,Paraguay,,0-0,104,#REF!,0.00%,,,,,,,,,,Yael Perez,3,4,1.33,0,0.00
34,Portugal,,Cor 1H,104,405,3.89,,,,,,,,,,Cesar Arturo Ramos,2,4,2.00,0,0.00
35,Qatar,,Cor 2H,104,511,4.91,,,,,,,,,,Gustavo Tejera,2,4,2.00,0,0.00
36,Saudi Arabia,,Cor M,104,916,8.81,,,,,,,,,,Alejandro Hernandez,1,4,4.00,0,0.00
37,Scotland,,HWin%,104,25,24.04%,,,,,,,,,,Pierre Atcho,2,3,1.50,0,0.00
38,Senegal,,AWin%,104,13,12.50%,,,,,,,,,,Istvan Kovacs,2,3,1.50,0,0.00
39,South Africa,,Draw%,104,16,15.38%,,,,,,,,,,Raphael Claus,2,3,1.50,1,0.50
40,South Korea,,xG,104,269.88,2.60,,,,,,,,,,Omar Al-Ali,1,3,3.00,0,0.00
41,Spain,,Shots,104,2578,24.79,,,,,,,,,,Cristian Garay,1,2,2.00,2,2.00
42,Sweden,,Fouls,104,2412,23.19,,,,,,,,,,Dario Herrera,1,2,2.00,1,1.00
43,Switzerland,,,,,,,,,,,,,,,Dahane Beida,1,1,1.00,0,0.00
44,Tunisia,,,,,,,,,,,,,,,Juan Benitez,1,0,0.00,0,0.00
45,Turkey,,,,,,,,,,,,,,,Katia Garcia Mendoza,1,0,0.00,0,0.00
46,United States,,,,,,,,,,,,,,,,,,,,
47,Uruguay,,,,,,,,,,,,,,,,,,,,
48,Uzbekistan,,,,,,,,,,,,,,,,,,,,
