task,scope,group,metric,n,mean
01_goals,original_sample,Higher,scoreless_match_share,20,0.20958333333333332
01_goals,original_sample,Lower,scoreless_match_share,20,0.3508333333333333
01_goals,full_census,Higher,scoreless_match_share,24,0.23125000000000004
01_goals,full_census,Lower,scoreless_match_share,24,0.3756944444444444
03_shots,original_sample,Higher,mean_match_shot_share,20,0.5505749546924099
03_shots,original_sample,Lower,mean_match_shot_share,20,0.4084439154294114
03_shots,full_census,Higher,mean_match_shot_share,24,0.5532873839355151
03_shots,full_census,Lower,mean_match_shot_share,24,0.40001286726147134
04_saves,original_sample,Higher,opponent_shots_per_match,20,11.169583333333334
04_saves,original_sample,Higher,opponent_sot_per_match,20,3.8075
04_saves,original_sample,Higher,saves_per_100_opponent_shots,20,25.460891700692812
04_saves,original_sample,Lower,opponent_shots_per_match,20,14.436666666666667
04_saves,original_sample,Lower,opponent_sot_per_match,20,5.315
04_saves,original_sample,Lower,saves_per_100_opponent_shots,20,24.72513923877546
04_saves,full_census,Higher,opponent_shots_per_match,24,10.946180555555557
04_saves,full_census,Higher,opponent_sot_per_match,24,3.7138888888888886
04_saves,full_census,Higher,saves_per_100_opponent_shots,24,26.584160266987173
04_saves,full_census,Lower,opponent_shots_per_match,24,15.113888888888889
04_saves,full_census,Lower,opponent_sot_per_match,24,5.345833333333334
04_saves,full_census,Lower,saves_per_100_opponent_shots,24,24.166675950363597
