team,ranking_group,goals_per_match
Argentina,Higher,2.375
Australia,Higher,0.75
Austria,Higher,1.5
Belgium,Higher,2.3333333333333335
Brazil,Higher,2.0
Colombia,Higher,1.0
Croatia,Higher,1.5
Ecuador,Higher,0.5
England,Higher,2.5
France,Higher,2.5
Germany,Higher,2.75
IR Iran,Higher,1.0
Japan,Higher,2.0
Mexico,Higher,2.0
Netherlands,Higher,2.75
Senegal,Higher,2.5
Switzerland,Higher,1.6666666666666667
Türkiye,Higher,1.0
USA,Higher,2.2
Uruguay,Higher,1.0
Algeria,Lower,1.25
Bosnia and Herzegovina,Lower,1.25
Cabo Verde,Lower,1.0
Canada,Lower,1.8
Congo DR,Lower,1.25
Curaçao,Lower,0.3333333333333333
Czechia,Lower,0.6666666666666666
Côte d'Ivoire,Lower,1.25
Egypt,Lower,1.6
Ghana,Lower,0.5
Haiti,Lower,0.6666666666666666
Iraq,Lower,0.3333333333333333
Jordan,Lower,1.0
Norway,Lower,2.1666666666666665
Paraguay,Lower,0.6
Saudi Arabia,Lower,0.3333333333333333
South Africa,Lower,0.5
Sweden,Lower,1.75
Tunisia,Lower,0.6666666666666666
Uzbekistan,Lower,0.6666666666666666
