team,ranking_group,saves_per_match
Argentina,Higher,2.5
Australia,Higher,3.5
Austria,Higher,3.75
Belgium,Higher,3.1666666666666665
Brazil,Higher,3.0
Colombia,Higher,1.4
Croatia,Higher,3.0
Ecuador,Higher,3.0
England,Higher,3.125
France,Higher,1.875
Germany,Higher,1.75
IR Iran,Higher,5.0
Japan,Higher,4.25
Mexico,Higher,1.6
Netherlands,Higher,4.25
Senegal,Higher,3.25
Switzerland,Higher,3.3333333333333335
Türkiye,Higher,2.6666666666666665
USA,Higher,2.0
Uruguay,Higher,1.3333333333333333
Algeria,Lower,2.25
Bosnia and Herzegovina,Lower,2.0
Cabo Verde,Lower,4.5
Canada,Lower,1.4
Congo DR,Lower,3.75
Curaçao,Lower,7.0
Czechia,Lower,3.6666666666666665
Côte d'Ivoire,Lower,2.75
Egypt,Lower,2.8
Ghana,Lower,4.0
Haiti,Lower,4.333333333333333
Iraq,Lower,3.3333333333333335
Jordan,Lower,2.6666666666666665
Norway,Lower,3.6666666666666665
Paraguay,Lower,5.6
Saudi Arabia,Lower,5.666666666666667
South Africa,Lower,3.5
Sweden,Lower,4.0
Tunisia,Lower,2.3333333333333335
Uzbekistan,Lower,2.0
