match_id,date,stage,source,team,opponent,goals_against,goals,yellow,red,corners,xg,shots,sot,fouls,world_rank,entrant_rank,ranking_group,opponent_rank,qualification,split
WC26_001,2026-06-11,GROUP STAGE,TSDL,Mexico,South Africa,0,2,1,1,3,1.46,16,4,12,14,13,Higher,60,Qualified,train
WC26_001,2026-06-11,GROUP STAGE,TSDL,South Africa,Mexico,2,0,2,2,1,0.07,3,2,11,60,40,Lower,14,Qualified,train
WC26_002,2026-06-12,GROUP STAGE,TSDL,Canada,Bosnia and Herzegovina,1,1,2,0,9,1.25,13,4,10,30,27,Lower,64,Qualified,train
WC26_002,2026-06-12,GROUP STAGE,TSDL,Bosnia and Herzegovina,Canada,1,1,3,0,4,0.98,8,3,20,64,43,Lower,30,Qualified,train
WC26_003,2026-06-12,GROUP STAGE,TSDL,Korea Republic,Czechia,1,2,1,0,4,2.3,15,6,9,25,23,Higher,40,Eliminated,test
WC26_003,2026-06-12,GROUP STAGE,TSDL,Czechia,Korea Republic,2,1,0,0,5,0.83,7,4,16,40,32,Lower,25,Eliminated,test
WC26_004,2026-06-13,GROUP STAGE,TSDL,Brazil,Morocco,1,1,2,0,6,1.26,12,5,16,6,6,Higher,7,Qualified,test
WC26_004,2026-06-13,GROUP STAGE,TSDL,Morocco,Brazil,1,1,0,0,2,1.37,14,3,14,7,7,Higher,6,Qualified,test
WC26_005,2026-06-13,GROUP STAGE,TSDL,Qatar,Switzerland,1,1,2,0,3,0.6,6,3,12,56,38,Lower,19,Eliminated,train
WC26_005,2026-06-13,GROUP STAGE,TSDL,Switzerland,Qatar,1,1,1,0,10,3.2,26,7,11,19,18,Higher,56,Qualified,train
WC26_006,2026-06-13,GROUP STAGE,TSDL,USA,Paraguay,1,4,1,0,3,1.42,16,6,13,17,16,Higher,41,Qualified,train
WC26_006,2026-06-13,GROUP STAGE,TSDL,Paraguay,USA,4,1,5,0,1,0.54,9,1,17,41,33,Lower,17,Qualified,train
WC26_007,2026-06-14,GROUP STAGE,TSDL,Australia,Türkiye,0,2,0,0,5,1.18,9,4,12,27,24,Higher,22,Qualified,train
WC26_007,2026-06-14,GROUP STAGE,TSDL,Türkiye,Australia,2,0,1,0,8,1.36,30,8,4,22,20,Higher,27,Eliminated,train
WC26_008,2026-06-14,GROUP STAGE,TSDL,Germany,Curaçao,1,7,0,0,8,4.22,26,12,18,10,10,Higher,82,Qualified,train
WC26_008,2026-06-14,GROUP STAGE,TSDL,Curaçao,Germany,7,1,0,0,1,0.41,8,2,11,82,46,Lower,10,Eliminated,train
WC26_009,2026-06-14,GROUP STAGE,TSDL,Haiti,Scotland,1,0,1,0,4,1.05,15,2,23,83,47,Lower,42,Eliminated,train
WC26_009,2026-06-14,GROUP STAGE,TSDL,Scotland,Haiti,0,1,3,0,3,1.05,9,2,21,42,34,Lower,83,Eliminated,train
WC26_010,2026-06-14,GROUP STAGE,TSDL,Netherlands,Japan,2,2,3,0,5,0.78,10,6,7,8,8,Higher,18,Qualified,train
