team,ranking_group,shots_per_match
Argentina,Higher,14.25
Australia,Higher,10.5
Austria,Higher,8.0
Belgium,Higher,18.666666666666668
Brazil,Higher,14.8
Colombia,Higher,18.8
Croatia,Higher,9.25
Ecuador,Higher,13.25
England,Higher,14.75
France,Higher,17.375
Germany,Higher,18.5
IR Iran,Higher,12.333333333333334
Japan,Higher,8.5
Mexico,Higher,14.0
Netherlands,Higher,11.5
Senegal,Higher,17.25
Switzerland,Higher,12.333333333333334
Türkiye,Higher,23.666666666666668
USA,Higher,11.8
Uruguay,Higher,16.333333333333332
Algeria,Lower,11.0
Bosnia and Herzegovina,Lower,9.25
Cabo Verde,Lower,12.25
Canada,Lower,16.0
Congo DR,Lower,10.25
Curaçao,Lower,9.666666666666666
Czechia,Lower,11.333333333333334
Côte d'Ivoire,Lower,11.25
Egypt,Lower,13.4
Ghana,Lower,6.0
Haiti,Lower,10.333333333333334
Iraq,Lower,7.0
Jordan,Lower,8.0
Norway,Lower,11.0
Paraguay,Lower,7.0
Saudi Arabia,Lower,5.666666666666667
South Africa,Lower,9.75
Sweden,Lower,12.0
Tunisia,Lower,6.0
Uzbekistan,Lower,6.0
