team,qualification,yellow_per_group_match
Algeria,Qualified,0.3333333333333333
Argentina,Qualified,0.6666666666666666
Australia,Qualified,1.6666666666666667
Austria,Qualified,1.3333333333333333
Belgium,Qualified,1.0
Bosnia and Herzegovina,Qualified,2.0
Brazil,Qualified,1.6666666666666667
Cabo Verde,Qualified,1.3333333333333333
Canada,Qualified,1.6666666666666667
Colombia,Qualified,1.3333333333333333
Congo DR,Qualified,1.6666666666666667
Croatia,Qualified,0.6666666666666666
Côte d'Ivoire,Qualified,1.3333333333333333
Egypt,Qualified,2.0
France,Qualified,0.3333333333333333
Ghana,Qualified,1.0
Mexico,Qualified,0.6666666666666666
Morocco,Qualified,0.3333333333333333
Netherlands,Qualified,1.0
Portugal,Qualified,1.3333333333333333
Senegal,Qualified,0.6666666666666666
South Africa,Qualified,1.6666666666666667
Switzerland,Qualified,1.0
USA,Qualified,1.6666666666666667
Curaçao,Eliminated,2.3333333333333335
Haiti,Eliminated,2.3333333333333335
IR Iran,Eliminated,2.0
Iraq,Eliminated,1.3333333333333333
Jordan,Eliminated,1.3333333333333333
Korea Republic,Eliminated,1.3333333333333333
New Zealand,Eliminated,1.3333333333333333
Qatar,Eliminated,1.3333333333333333
Saudi Arabia,Eliminated,2.0
Scotland,Eliminated,1.6666666666666667
Tunisia,Eliminated,0.3333333333333333
Uruguay,Eliminated,1.6666666666666667
