match_id,date,stage,team1,team2,goals1,goals2,source,source_row,shootout,yellow1,yellow2,red1,red2,corners1,corners2,xg1,xg2,shots1,shots2,sot1,sot2,fouls1,fouls2,total_goals,total_shots,total_yellow,total_corners,min,max,rank_gap,split
WC26_001,2026-06-11,GROUP STAGE,Mexico,South Africa,2,0,TSDL,4.0,False,1,2,1,2,3,1,1.46,0.07,16,3,4,2,12,11,2,19,3,4,14,60,46,train
WC26_002,2026-06-12,GROUP STAGE,Canada,Bosnia and Herzegovina,1,1,TSDL,6.0,False,2,3,0,0,9,4,1.25,0.98,13,8,4,3,10,20,2,21,5,13,30,64,34,train
WC26_003,2026-06-12,GROUP STAGE,Korea Republic,Czechia,2,1,TSDL,5.0,False,1,0,0,0,4,5,2.3,0.83,15,7,6,4,9,16,3,22,1,9,25,40,15,test
WC26_004,2026-06-13,GROUP STAGE,Brazil,Morocco,1,1,TSDL,9.0,False,2,0,0,0,6,2,1.26,1.37,12,14,5,3,16,14,2,26,2,8,6,7,1,test
WC26_005,2026-06-13,GROUP STAGE,Qatar,Switzerland,1,1,TSDL,8.0,False,2,1,0,0,3,10,0.6,3.2,6,26,3,7,12,11,2,32,3,13,19,56,37,train
WC26_006,2026-06-13,GROUP STAGE,USA,Paraguay,4,1,TSDL,7.0,False,1,5,0,0,3,1,1.42,0.54,16,9,6,1,13,17,5,25,6,4,17,41,24,train
WC26_007,2026-06-14,GROUP STAGE,Australia,Türkiye,2,0,TSDL,11.0,False,0,1,0,0,5,8,1.18,1.36,9,30,4,8,12,4,2,39,1,13,22,27,5,train
WC26_008,2026-06-14,GROUP STAGE,Germany,Curaçao,7,1,TSDL,12.0,False,0,0,0,0,8,1,4.22,0.41,26,8,12,2,18,11,8,34,0,9,10,82,72,train
WC26_009,2026-06-14,GROUP STAGE,Haiti,Scotland,0,1,TSDL,10.0,False,1,3,0,0,4,3,1.05,1.05,15,9,2,2,23,21,1,24,4,7,42,83,41,train
WC26_010,2026-06-14,GROUP STAGE,Netherlands,Japan,2,2,TSDL,13.0,False,3,0,0,0,5,4,0.78,0.59,10,10,6,3,7,7,4,20,3,9,8,18,10,train
WC26_011,2026-06-15,GROUP STAGE,Belgium,Egypt,1,1,TSDL,17.0,False,2,2,0,0,2,7,1.35,1.08,15,14,3,3,15,15,2,29,4,9,9,29,20,train
WC26_012,2026-06-15,GROUP STAGE,Côte d'Ivoire,Ecuador,1,0,TSDL,14.0,False,3,1,0,0,3,5,1.52,1.01,15,12,4,1,10,13,1,27,4,8,23,33,10,test
WC26_013,2026-06-15,GROUP STAGE,Saudi Arabia,Uruguay,1,1,TSDL,18.0,False,1,0,0,0,4,14,0.66,1.72,7,27,3,10,11,6,2,34,1,18,16,61,45,train
WC26_014,2026-06-15,GROUP STAGE,Spain,Cabo Verde,0,0,TSDL,16.0,False,1,1,0,0,11,1,2.1,0.2,27,6,7,1,10,1,0,33,2,12,2,67,65,train
WC26_015,2026-06-15,GROUP STAGE,Sweden,Tunisia,5,1,TSDL,15.0,False,0,1,0,0,4,2,1.33,0.28,13,6,7,2,10,8,6,19,1,6,38,45,7,train
WC26_016,2026-06-16,GROUP STAGE,France,Senegal,3,1,TSDL,20.0,False,0,0,0,0,6,4,1.79,0.53,11,6,8,2,5,9,4,17,0,10,3,15,12,train
WC26_017,2026-06-16,GROUP STAGE,IR Iran,New Zealand,2,2,TSDL,19.0,False,1,0,0,0,4,1,1.5,1.24,17,14,4,8,10,8,4,31,1,5,20,85,65,train
WC26_018,2026-06-16,GROUP STAGE,Iraq,Norway,1,4,TSDL,21.0,False,1,0,0,0,2,5,0.8,2.52,11,12,1,5,12,13,5,23,1,7,31,57,26,test
WC26_019,2026-06-17,GROUP STAGE,Argentina,Algeria,3,0,TSDL,22.0,False,0,0,0,0,2,2,1.26,0.32,10,7,6,0,13,8,3,17,0,4,1,28,27,test
WC26_020,2026-06-17,GROUP STAGE,Austria,Jordan,3,1,TSDL,23.0,False,1,0,0,0,4,3,1.66,0.53,11,11,4,4,12,7,4,22,1,7,24,63,39,train
WC26_021,2026-06-17,GROUP STAGE,England,Croatia,4,2,TSDL,25.0,False,0,0,0,0,8,2,3.2,0.7,22,10,11,5,10,12,6,32,0,10,4,11,7,test
WC26_022,2026-06-17,GROUP STAGE,Portugal,Congo DR,1,1,TSDL,24.0,False,3,1,0,0,5,4,0.65,0.87,7,8,1,2,9,10,2,15,4,9,5,46,41,train
WC26_023,2026-06-18,GROUP STAGE,Canada,Qatar,6,0,TSDL,30.0,False,1,1,0,2,19,1,4.6,0.22,32,2,10,0,9,10,6,34,2,20,30,56,26,test
WC26_024,2026-06-18,GROUP STAGE,Czechia,South Africa,1,1,TSDL,28.0,False,1,2,0,0,5,5,1.02,1.38,14,17,3,4,12,10,2,31,3,10,40,60,20,train
